Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibC::C21	800E11E8	N/A	N/A	N/A	0	N/A	N/A
LibC::C23	800E11F8	N/A	N/A	N/A	0	N/A	N/A
LibC::C24	800E1208	N/A	N/A	N/A	0	N/A	N/A
LibC::C25	800E1218	N/A	N/A	N/A	0	N/A	N/A
LibC::C26	800E1228	N/A	N/A	N/A	0	N/A	N/A
LibC::C40	800E1238	N/A	N/A	N/A	0	N/A	N/A
LibC::C42	800E1248	N/A	N/A	N/A	0	N/A	N/A
LibC::C43	800E1258	N/A	N/A	N/A	0	N/A	N/A
LibC::C47	800E1268	N/A	N/A	N/A	0	N/A	N/A
LibC::C63	800E1278	N/A	N/A	N/A	0	N/A	N/A
LibC::BCMP	800E1288	N/A	N/A	N/A	0	N/A	N/A
LibApi::C57	800E12C8	N/A	N/A	N/A	0	N/A	N/A
LibApi::C68	800E12D8	N/A	N/A	N/A	0	N/A	N/A
LibApi::C73	800E12E8	N/A	N/A	N/A	0	N/A	N/A
LibApi::C114	800E1300	N/A	N/A	N/A	0	N/A	N/A
LibApi::A07	800E1318	N/A	N/A	N/A	0	N/A	N/A
LibApi::A08	800E1328	N/A	N/A	N/A	0	N/A	N/A
LibApi::A09	800E1338	N/A	N/A	N/A	0	N/A	N/A
LibApi::A10	800E1348	N/A	N/A	N/A	0	N/A	N/A
LibApi::A11	800E1358	N/A	N/A	N/A	0	N/A	N/A
LibApi::A12	800E1368	N/A	N/A	N/A	0	N/A	N/A
LibApi::A13	800E1378	N/A	N/A	N/A	0	N/A	N/A
LibApi::A23	800E1388	N/A	N/A	N/A	0	N/A	N/A
LibApi::A24	800E1398	N/A	N/A	N/A	0	N/A	N/A
LibApi::A25	800E13A8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A36	800E13B8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A37	800E13C8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A50	800E13D8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A51	800E13E8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A52	800E13F8	N/A	N/A	N/A	0	N/A	N/A
LibApi::A53	800E1408	N/A	N/A	N/A	0	N/A	N/A
LibApi::A54	800E1418	N/A	N/A	N/A	0	N/A	N/A
LibApi::A67	800E1428	N/A	N/A	N/A	0	N/A	N/A
LibApi::A91	800E1438	N/A	N/A	N/A	0	N/A	N/A
LibApi::L02	800E1448	N/A	N/A	N/A	0	N/A	N/A
LibApi::L03	800E1458	N/A	N/A	N/A	0	N/A	N/A
